type	taxid
artificial_sequences	60476
artificial_sequences	60477
artificial_sequences	61449
artificial_sequences	61963
artificial_sequences	62527
artificial_sequences	62528
artificial_sequences	62529
artificial_sequences	62530
artificial_sequences	62697
artificial_sequences	62978
artificial_sequences	64140
artificial_sequences	64188
artificial_sequences	64189
artificial_sequences	64712
artificial_sequences	64885
artificial_sequences	64886
artificial_sequences	64887
artificial_sequences	64888
artificial_sequences	64889
artificial_sequences	64890
artificial_sequences	64891
artificial_sequences	65020
artificial_sequences	65066
artificial_sequences	65736
artificial_sequences	65821
artificial_sequences	66196
artificial_sequences	66197
artificial_sequences	66198
artificial_sequences	67588
artificial_sequences	67775
artificial_sequences	67802
artificial_sequences	68403
artificial_sequences	68404
artificial_sequences	68405
artificial_sequences	68406
artificial_sequences	68899
artificial_sequences	68900
artificial_sequences	68901
artificial_sequences	68902
artificial_sequences	69046
artificial_sequences	69273
artificial_sequences	69274
artificial_sequences	69275
artificial_sequences	69276
artificial_sequences	69327
artificial_sequences	69403
artificial_sequences	69411
artificial_sequences	69544
artificial_sequences	70063
artificial_sequences	70298
artificial_sequences	70935
artificial_sequences	71279
artificial_sequences	71409
artificial_sequences	71549
artificial_sequences	71550
artificial_sequences	71551
artificial_sequences	71552
artificial_sequences	71553
artificial_sequences	71554
artificial_sequences	71555
artificial_sequences	72145
artificial_sequences	72227
artificial_sequences	72436
artificial_sequences	73159
artificial_sequences	73160
artificial_sequences	73270
artificial_sequences	73424
artificial_sequences	73425
artificial_sequences	73560
artificial_sequences	73777
artificial_sequences	73901
artificial_sequences	73902
artificial_sequences	73903
artificial_sequences	74458
artificial_sequences	74538
artificial_sequences	74542
artificial_sequences	74543
artificial_sequences	74544
artificial_sequences	74548
artificial_sequences	74551
artificial_sequences	74552
artificial_sequences	74553
artificial_sequences	74554
artificial_sequences	74582
artificial_sequences	74793
artificial_sequences	74848
artificial_sequences	74888
artificial_sequences	74939
artificial_sequences	75057
artificial_sequences	75305
artificial_sequences	75306
artificial_sequences	75307
artificial_sequences	75696
artificial_sequences	75737
artificial_sequences	75965
artificial_sequences	76156
artificial_sequences	76157
artificial_sequences	76487
artificial_sequences	76488
artificial_sequences	76519
artificial_sequences	76520
artificial_sequences	76521
artificial_sequences	76522
artificial_sequences	76523
artificial_sequences	76524
artificial_sequences	76525
artificial_sequences	76526
artificial_sequences	76527
artificial_sequences	76528
artificial_sequences	76529
artificial_sequences	76530
artificial_sequences	76531
artificial_sequences	76532
artificial_sequences	76533
artificial_sequences	76534
artificial_sequences	76535
artificial_sequences	76536
artificial_sequences	76537
artificial_sequences	76538
artificial_sequences	76539
artificial_sequences	76551
artificial_sequences	76552
artificial_sequences	76553
artificial_sequences	76638
artificial_sequences	76639
artificial_sequences	76660
artificial_sequences	76661
artificial_sequences	76662
artificial_sequences	76663
artificial_sequences	76664
artificial_sequences	76665
artificial_sequences	76666
artificial_sequences	76667
artificial_sequences	76876
artificial_sequences	76888
artificial_sequences	77040
artificial_sequences	77047
artificial_sequences	77609
artificial_sequences	77610
artificial_sequences	77611
artificial_sequences	77612
artificial_sequences	77613
